provider_id,provider_name,provider_state,lat,lng
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,AZ,33.4886726,-111.9231494
30061,BANNER BOSWELL MEDICAL CENTER,AZ,33.60426029999999,-112.28379939999999
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,34.2019458,-110.0191523
30065,BANNER DESERT MEDICAL CENTER,AZ,33.3899841,-111.87701299999999
30069,HAVASU REGIONAL MEDICAL CENTER,AZ,34.478840399999996,-114.3460283
30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,AZ,33.580069,-111.8851432
30089,BANNER THUNDERBIRD MEDICAL CENTER,AZ,33.6092024,-112.1795965
30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,AZ,33.665726899999996,-112.11610790000002
30093,BANNER DEL E WEBB MEDICAL CENTER,AZ,33.65965300000001,-112.372831
30094,ARROWHEAD HOSPITAL,AZ,33.6550895,-112.20154640000001
30100,CARONDELET HEART AND VASCULAR INSTITUTE,AZ,32.294444,-110.970281
30101,WESTERN ARIZONA REGIONAL MEDICAL CTR,AZ,35.1108174,-114.55498270000001
30103,MAYO CLINIC HOSPITAL,AZ,33.6588967,-111.95642120000001
30105,BANNER HEART HOSPITAL,AZ,33.4113567,-111.6858362
40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,AR,36.1341774,-94.1287111
40007,ST VINCENT INFIRMARY MEDICAL CENTER,AR,34.749974,-92.3386846
40010,MERCY MEDICAL CENTER,AR,36.3089205,-94.1830957
40020,ST BERNARDS MEDICAL CTR,AR,35.84229670000001,-90.704279
40022,NW ARKANSAS HOSPITALS LLC,AR,36.180071399999996,-94.1367276
40026,ST JOSEPHS MERCY HEALTH CENTER INC,AR,34.4681702,-93.0663135
40027,BAXTER REGIONAL MEDICAL CENTER,AR,36.342950200000004,-92.3944185
40029,CONWAY REGIONAL MEDICAL CENTER,AR,35.0859847,-92.4576613
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,34.777696999999996,-92.1253854
40062,ST EDWARD MERCY MEDICAL CENTER,AR,35.35579710000001,-94.3526657
40071,JEFFERSON REGIONAL MEDICAL CENTER,AR,34.189054999999996,-92.0181788
40078,NATIONAL PARK MEDICAL CENTER,AR,34.486004,-93.035211
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,34.74865629999999,-92.3542193
40118,NEA BAPTIST MEMORIAL HOSPITAL,AR,35.8083116,-90.66602359999999
40119,WHITE RIVER MEDICAL CENTER,AR,35.7678771,-91.63429570000001
40134,ARKANSAS HEART HOSPITAL,AR,34.739200700000005,-92.3932502
50006,ST JOSEPH HOSPITAL,CA,40.78392279999999,-124.14221189999999
50007,PENINSULA MEDICAL CENTER,CA,37.59204620000001,-122.38341650000001
50013,ST HELENA HOSPITAL,CA,38.5425501,-122.47482679999999
50017,MERCY GENERAL HOSPITAL,CA,38.5702596,-121.4524082
50026,GROSSMONT HOSPITAL,CA,32.774948699999996,-117.01467360000001
50036,BAKERSFIELD MEMORIAL HOSPITAL,CA,35.3873576,-119.0168962
50039,ENLOE MEDICAL CENTER,CA,39.7421399,-121.85018909999998
50056,ANTELOPE VALLEY HOSPITAL MED CENTER,CA,34.6946278,-118.1473771
50057,KAWEAH DELTA MEDICAL CENTER,CA,36.32829570000001,-119.2949631
50058,GLENDALE MEM HOSPITAL & HLTH CENTER,CA,34.1281181,-118.25691189999999
50069,ST JOSEPH HOSPITAL,CA,33.7819896,-117.8653381
50077,SCRIPPS MERCY HOSPITAL,CA,32.7514518,-117.1600534
50082,ST JOHNS REGIONAL MEDICAL CENTER,CA,34.2166424,-119.15564840000002
50084,ST JOSEPHS MED CENTER OF STOCKTON,CA,37.9706584,-121.288784
50093,SAINT AGNES MEDICAL CENTER,CA,36.83520220000001,-119.76552779999999
50107,MARIAN MEDICAL CENTER,CA,34.9512414,-120.41333390000001
50108,SUTTER GENERAL HOSPITAL,CA,38.58001840000001,-121.46275759999999
50115,PALOMAR MEDICAL CENTER,CA,33.125185200000004,-117.07527479999999
50128,TRI-CITY MEDICAL CENTER,CA,33.185154499999996,-117.29025949999999
50133,RIDEOUT MEMORIAL HOSPITAL,CA,39.1381926,-121.59401559999999
50168,ST JUDE MEDICAL CENTER,CA,33.8941778,-117.9276156
50174,SANTA ROSA MEMORIAL HOSPITAL,CA,38.4437611,-122.70114099999999
50179,EMANUEL MEDICAL CENTER INC,CA,37.511639,-120.83799599999999
50485,LONG BEACH MEMORIAL MEDICAL CENTER,CA,33.808107299999996,-118.1867435
50180,JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,CA,37.91308710000001,-122.04085420000001
50197,SEQUOIA HOSPITAL,CA,37.4797381,-122.25479140000002
50222,SHARP CHULA VISTA MEDICAL CENTER,CA,32.6187715,-117.02292859999999
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,CA,33.6220091,-117.93134189999999
50225,FEATHER RIVER HOSPITAL,CA,39.757081799999995,-121.5701689
50232,FRENCH HOSPITAL MEDICAL CENTER,CA,35.278170900000006,-120.6511558
50235,PROVIDENCE SAINT JOSEPH MEDICAL CTR,CA,34.1558174,-118.3281063
50238,METHODIST HOSPITAL OF SOUTHERN CA,CA,34.1355055,-118.03942669999999
50243,DESERT REGIONAL MEDICAL CENTER,CA,33.8385169,-116.54408000000001
50262,RONALD REAGAN UCLA MEDICAL CENTER,CA,34.066443299999996,-118.4463136
50280,MERCY MEDICAL CENTER REDDING,CA,40.5865396,-122.3916754
50290,SAINT JOHNS HEALTH CENTER,CA,34.030738799999995,-118.47960690000001
50291,SUTTER MEDICAL CENTER OF SANTA ROSA,CA,38.4697801,-122.7077378
50295,MERCY HOSPITAL,CA,35.3728466,-119.02777659999998
50308,EL CAMINO HOSPITAL,CA,37.36947720000001,-122.07991170000001
50309,SUTTER ROSEVILLE MEDICAL CENTER,CA,38.76660310000001,-121.2480193
50334,SALINAS VALLEY MEMORIAL HOSPITAL,CA,36.6593319,-121.646662
50351,TORRANCE MEMORIAL MEDICAL CENTER,CA,33.8119157,-118.3434945
50360,MARIN GENERAL HOSPITAL,CA,37.9476326,-122.52526040000001
50380,GOOD SAMARITAN HOSPITAL,CA,37.2520715,-121.94633049999999
50382,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,CA,34.088080700000006,-117.89342479999999
50390,HEMET VALLEY MEDICAL CENTER,CA,33.6991526,-116.9793554
50394,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,CA,34.2745632,-119.2579873
50396,SANTA BARBARA COTTAGE HOSPITAL,CA,34.4216024,-119.69825900000001
50424,SCRIPPS GREEN HOSPITAL,CA,32.8972071,-117.2427862
50438,HUNTINGTON MEMORIAL HOSPITAL,CA,34.133639,-118.152753
50441,STANFORD HOSPITAL,CA,37.43420190000001,-122.17602409999999
50464,DOCTORS MEDICAL CENTER,CA,37.6652146,-120.99729950000001
50481,WEST HILLS HOSPITAL & MEDICAL CENTER,CA,34.197312200000006,-118.64398090000002
50496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CA,37.983513099999996,-122.0335666
50516,MERCY SAN JUAN MEDICAL CENTER,CA,38.66962279999999,-121.3140357
50549,LOS ROBLES HOSPITAL & MEDICAL CENTER,CA,34.206985700000004,-118.88310279999999
50551,LOS ALAMITOS MEDICAL CENTER,CA,33.804375799999995,-118.06711580000001
50557,MEMORIAL  MEDICAL CENTER,CA,37.668759200000004,-120.9737865
50573,EISENHOWER MEDICAL CENTER,CA,33.739744,-116.41278999999999
50599,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,CA,38.554938299999996,-121.4567508
50603,SADDLEBACK MEMORIAL MEDICAL CENTER,CA,33.6089013,-117.70872469999999
50625,CEDARS-SINAI MEDICAL CENTER,CA,34.075153,-118.38027659999999
50701,SOUTHWEST HEALTHCARE SYSTEM,CA,33.5589878,-117.1839316
50732,FRESNO HEART AND SURGICAL HOSPITAL,CA,36.85992299999999,-119.788578
50757,ALVARADO HOSPITAL MEDICAL CENTER,CA,32.7766415,-117.0573188
50761,PROVIDENCE TARZANA MEDICAL CENTER,CA,34.1704136,-118.5322725
50764,SHASTA REGIONAL MEDICAL CENTER,CA,40.5855146,-122.3877763
60001,NORTH COLORADO MEDICAL CENTER,CO,40.414806,-104.7089
60013,MERCY REGIONAL MEDICAL CENTER,CO,37.2361018,-107.8255618
60014,PRESBYTERIAN/ST LUKES MEDICAL CENTER,CO,39.74704759999999,-104.9665169
60020,PARKVIEW MEDICAL CENTER INC,CO,38.2818539,-104.6125748
60022,MEMORIAL HOSPITAL CENTRAL,CO,38.8560908,-104.78126540000001
60023,ST MARYS HOSPITAL AND MEDICAL CENTER,CO,39.090458899999994,-108.5619004
60031,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,CO,38.8778926,-104.81044240000001
60064,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,CO,39.670102,-104.97482679999999
60100,MEDICAL CENTER OF AURORA THE,CO,39.6900823,-104.83237740000001
60119,MEDICAL CENTER OF THE ROCKIES,CO,40.41568779999999,-104.99733370000001
70001,HOSPITAL OF ST RAPHAEL,CT,41.31025379999999,-72.9431532
70002,ST FRANCIS HOSPITAL & MEDICAL CENTER,CT,41.7749634,-72.6984118
70010,BRIDGEPORT HOSPITAL,CT,41.18841279999999,-73.16662149999998
70012,ROCKVILLE GENERAL HOSPITAL,CT,41.8664467,-72.4509128
70016,SAINT MARYS HOSPITAL,CT,41.5529483,-73.0368663
70017,MIDSTATE MEDICAL CENTER,CT,41.5493063,-72.80114509999999
70018,GREENWICH HOSPITAL ASSOCIATION,CT,41.034308,-73.630196
70020,MIDDLESEX HOSPITAL,CT,41.55471,-72.64751300000002
70022,YALE-NEW HAVEN HOSPITAL,CT,41.304543599999995,-72.9357954
70024,WILLIAM W BACKUS HOSPITAL,CT,41.5430114,-72.0879807
70025,HARTFORD HOSPITAL,CT,41.7541227,-72.6791793
70028,ST VINCENTS MEDICAL CENTER,CT,41.201187,-73.20165349999998
70033,DANBURY HOSPITAL,CT,41.4050857,-73.44628900000002
70034,NORWALK HOSPITAL ASSOCIATION,CT,41.111321999999994,-73.420307
70035,HOSPITAL OF CENTRAL CONNECTICUT THE,CT,41.661040899999996,-72.7869415
80001,CHRISTIANA CARE HEALTH SERVICES INC.,DE,39.6878859,-75.668995
80004,BAYHEALTH - KENT GENERAL HOSPITAL,DE,39.151295899999994,-75.52362020000002
80007,BEEBE MEDICAL CENTER,DE,38.7720274,-75.14388339999998
90001,GEORGE WASHINGTON UNIV HOSPITAL,DC,38.901336799999996,-77.05078540000002
90004,GEORGETOWN UNIVERSITY HOSPITAL,DC,38.911453200000004,-77.0752748
90011,WASHINGTON HOSPITAL CENTER,DC,38.92950039999999,-77.0144985
100002,BETHESDA MEMORIAL HOSPITAL,FL,26.504793699999997,-80.0704477
100006,ORLANDO HEALTH,FL,28.5257624,-81.3773571
100007,FLORIDA HOSPITAL,FL,28.574469899999997,-81.3695415
100012,LEE MEMORIAL HOSPITAL,FL,26.6281446,-81.87421909999998
100017,HALIFAX HEALTH MEDICAL CENTER,FL,29.2010424,-81.05440109999998
100018,NAPLES COMMUNITY HOSPITAL,FL,26.1507111,-81.79840420000002
100019,HOLMES REGIONAL MEDICAL CENTER,FL,28.087832899999995,-80.61431309999998
100023,CITRUS MEMORIAL HOSPITAL,FL,28.8334017,-82.33596659999998
100025,SACRED HEART HOSPITAL,FL,30.4764994,-87.2121942
100026,BAY MEDICAL CENTER,FL,30.159664399999997,-85.64862430000002
100028,PARRISH MEDICAL CENTER,FL,28.6308071,-80.8240873
100034,MOUNT SINAI MEDICAL CENTER,FL,25.81329460000001,-80.14013720000001
100035,MANATEE MEMORIAL HOSPITAL,FL,27.497263099999998,-82.56217779999999
100038,MEMORIAL REGIONAL HOSPITAL,FL,26.0189172,-80.17972089999998
100040,ST VINCENTS MEDICAL CENTER,FL,30.307202,-81.689871
100044,MARTIN MEMORIAL MEDICAL CENTER,FL,27.198970799999998,-80.24354709999999
100046,FLORIDA HOSPITAL ZEPHYRHILLS,FL,28.26093,-82.18801490000001
100047,CHARLOTTE REGIONAL MEDICAL CENTER,FL,26.940992200000004,-82.040058
100049,HIGHLANDS REGIONAL MEDICAL CENTER,FL,27.4656878,-81.43297700000002
100052,WINTER HAVEN HOSPITAL,FL,28.0276768,-81.72465600000002
100057,FLORIDA HOSPITAL WATERMAN,FL,28.823794,-81.714703
100062,MUNROE REGIONAL MEDICAL CENTER,FL,29.17538780000001,-82.138785
100067,ST ANTHONYS HOSPITAL,FL,27.734624800000002,-82.6321376
100068,FLORIDA HOSPITAL MEMORIAL MEDICAL CENTER,FL,29.240990999999998,-81.06994619999998
100070,VENICE REGIONAL MEDICAL CENTER,FL,27.0905363,-82.4449121
100071,BROOKSVILLE REGIONAL HOSPITAL,FL,28.5385,-82.44303860000002
100072,FLORIDA HOSPITAL FISH MEMORIAL,FL,28.914028000000002,-81.28480400000002
100073,HOLY CROSS HOSPITAL INC,FL,26.1871437,-80.1199314
100075,ST JOSEPHS HOSPITAL,FL,27.9436421,-82.47418
100077,PEACE RIVER REGIONAL MEDICAL CENTER,FL,26.989050800000005,-82.0955944
100084,LEESBURG REGIONAL MEDICAL CENTER,FL,28.80809480000001,-81.8683185
100087,SARASOTA MEMORIAL HOSPITAL,FL,27.3182559,-82.5311985
100088,BAPTIST MEDICAL CENTER,FL,30.3155312,-81.6635699
100090,FLAGLER HOSPITAL,FL,29.863220799999997,-81.31736010000002
100092,WUESTHOFF MEDICAL CENTER  ROCKLEDGE,FL,28.335224,-80.72319499999998
100093,BAPTIST HOSPITAL,FL,30.429431800000003,-87.23128050000004
100099,LAKE WALES MEDICAL CENTER,FL,27.895852,-81.56551800000003
100105,INDIAN RIVER MEDICAL CENTER,FL,27.6585296,-80.3943307
100109,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,FL,27.539158899999997,-81.50995929999998
100110,OSCEOLA REGIONAL MEDICAL CENTER,FL,28.2996231,-81.40973249999998
100113,SHANDS HOSPITAL AT THE UNIVERSITY OF FLORIDA,FL,29.6388446,-82.34237890000001
100118,FLORIDA HOSPITAL FLAGLER,FL,29.479328000000002,-81.1892501
100127,MORTON PLANT HOSPITAL,FL,27.953353600000003,-82.8042691
100128,TAMPA GENERAL HOSPITAL,FL,27.9381581,-82.4590989
100131,AVENTURA HOSPITAL AND MEDICAL CENTER,FL,25.96994,-80.14533
100135,TALLAHASSEE MEMORIAL HEALTHCARE,FL,30.456681,-84.2616518
100151,MAYO CLINIC,FL,30.289343100000004,-81.4377926
100154,SOUTH MIAMI HOSPITAL INC,FL,25.703541199999997,-80.293897
100157,LAKELAND REGIONAL MEDICAL CENTER,FL,28.0606898,-81.9546908
100161,CENTRAL FLORIDA REGIONAL HOSPITAL,FL,28.814620899999998,-81.28363519999998
100166,DOCTORS HOSPITAL OF SARASOTA,FL,27.301872999999997,-82.45428100000002
100168,BOCA RATON REGIONAL HOSPITAL,FL,26.358766999999997,-80.101737
100173,FLORIDA HOSPITAL TAMPA,FL,28.0714161,-82.42358899999998
100176,PALM BEACH GARDENS MEDICAL CENTER,FL,26.859889399999997,-80.08701549999998
100179,MEMORIAL HOSPITAL JACKSONVILLE,FL,30.288411600000003,-81.60200499999998
100191,MEDICAL CENTER OF TRINITY,FL,28.1808458,-82.6817662
100204,NORTH FLORIDA REGIONAL MEDICAL CENTER,FL,29.660304200000002,-82.41157209999999
100211,PASCO REGIONAL MEDICAL CENTER,FL,28.3647248,-82.19591779999998
100212,OCALA REGIONAL MEDICAL CENTER,FL,29.1755041,-82.13685229999999
100213,BLAKE MEDICAL CENTER,FL,27.482329999999997,-82.62362949999998
100217,SEBASTIAN RIVER MEDICAL CENTER,FL,27.816119099999998,-80.47847929999998
100220,GULF COAST MEDICAL CENTER LEE MEM HEALTH SYSTEM,FL,26.5441756,-81.8504152
100223,FORT WALTON BEACH MEDICAL CENTER,FL,30.49606510000001,-86.63087589999998
100226,ORANGE PARK MEDICAL CENTER,FL,30.165964399999996,-81.7376226
100231,WEST FLORIDA HOSPITAL,FL,30.515369500000002,-87.2187566
100232,PUTNAM COMMUNITY MEDICAL CENTER,FL,29.644807,-81.694311
100236,FAWCETT MEMORIAL HOSPITAL,FL,26.988630199999996,-82.0983196
100238,NORTHSIDE HOSPITAL,FL,27.821957899999997,-82.74010870000002
100242,GULF COAST MEDICAL CENTER,FL,30.186569,-85.665132
100243,BRANDON REGIONAL HOSPITAL,FL,27.9327936,-82.287386
100244,CAPE CORAL HOSPITAL,FL,26.639505800000002,-81.94142819999998
100246,LAWNWOOD REGIONAL MEDICAL CENTER & HEART INSTITUTE,FL,27.431962699999996,-80.34592789999998
100248,LARGO MEDICAL CENTER,FL,27.9144571,-82.8040223
100253,JUPITER MEDICAL CENTER,FL,26.923007000000002,-80.09598799999998
100256,REGIONAL MEDICAL CENTER BAYONET POINT,FL,28.3613206,-82.6881946
100258,DELRAY MEDICAL CENTER,FL,26.437093400000002,-80.12726040000003
100260,ST LUCIE MEDICAL CENTER,FL,27.2932971,-80.28787940000002
100264,OAK HILL HOSPITAL,FL,28.536601899999997,-82.53409740000002
100265,MEASE COUNTRYSIDE HOSPITAL,FL,28.0387248,-82.70687980000002
100286,PHYSICIANS REGIONAL MEDICAL CENTER - PINE RIDGE,FL,26.213832,-81.73258840000003
100290,VILLAGES REGIONAL HOSPITAL THE,FL,28.950209,-81.9582652
110003,SATILLA REGIONAL MEDICAL CENTER,GA,31.225156300000002,-82.34898309999998
110007,PHOEBE PUTNEY MEMORIAL HOSPITAL,GA,31.590123600000002,-84.15764370000002
110010,EMORY UNIVERSITY HOSPITAL,GA,33.7921115,-84.3221599
110011,TANNER MEDICAL CENTER - CARROLLTON,GA,33.569653,-85.072661
110016,WEST GEORGIA MEDICAL CENTER,GA,33.032552,-85.0586022
110028,UNIVERSITY HOSPITAL,GA,33.4707204,-81.98307170000002
110029,NORTHEAST GEORGIA MEDICAL CENTER INC,GA,34.3043586,-83.81720490000002
110030,CARTERSVILLE MEDICAL CENTER,GA,34.20079339999999,-84.79531290000001
110031,SPALDING REGIONAL MEDICAL CENTER,GA,33.2578917,-84.2653095
110035,WELLSTAR KENNESTONE HOSPITAL,GA,33.96958720000001,-84.55160649999998
110036,MEMORIAL HEALTH UNIV MED CEN INC,GA,32.029986,-81.0894845
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,GA,30.826143800000004,-83.97393170000002
110043,ST JOSEPHS HOSPITAL - SAVANNAH,GA,31.98515,-81.154752
110054,FLOYD MEDICAL CENTER,GA,34.26,-85.17
110074,ATHENS REGIONAL MEDICAL CENTER,GA,33.961187200000005,-83.3982944
110076,DEKALB MEDICAL CENTER,GA,33.7907835,-84.28282659999998
110082,SAINT JOSEPHS HOSPITAL OF ATLANTA INC,GA,33.9083548,-84.34871329999999
110083,PIEDMONT HOSPITAL,GA,33.8091054,-84.393287
110087,GWINNETT MEDICAL CENTER,GA,33.96350820000001,-84.01768659999998
110107,MEDICAL CENTER OF CENTRAL GEORGIA,GA,32.8338806,-83.63531929999998
110122,SOUTH GEORGIA MEDICAL CENTER,GA,30.68814,-83.31575
110125,FAIRVIEW PARK HOSPITAL,GA,32.5322896,-82.9504767
110129,ST FRANCIS HOSPITAL INC,GA,32.5057124,-84.96010590000002
110143,WELLSTAR COBB HOSPITAL,GA,33.856383,-84.60446340000001
110164,COLISEUM MEDICAL CENTER,GA,32.8472566,-83.61792940000002
110168,REDMOND REGIONAL MEDICAL CENTER,GA,34.277041,-85.19496529999998
110177,DOCTORS HOSPITAL,GA,33.48297,-82.09015670000002
110191,HENRY MEDICAL CENTER INC,GA,33.510351,-84.2271743
110215,PIEDMONT FAYETTE HOSPITAL,GA,33.452609,-84.50848289999998
120001,THE QUEENS MEDICAL CENTER,HI,21.3078718,-157.8548819
130002,ST LUKES MAGIC VALLEY RMC,ID,42.5907332,-114.4959781
130006,ST LUKES REGIONAL MEDICAL CENTER,ID,43.612852200000006,-116.19231529999999
130007,ST ALPHONSUS REGIONAL MEDICAL CENTER,ID,43.61448220000001,-116.25709679999999
130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,ID,43.4700469,-111.9916136
130028,PORTNEUF MEDICAL CENTER,ID,42.87391299999999,-112.4210182
130049,KOOTENAI MEDICAL CENTER,ID,47.6962908,-116.79383200000001
140007,PROVENA ST JOSEPH MEDICAL CENTER,IL,41.5359304,-88.1193763
140008,LOYOLA GOTTLIEB MEMORIAL HOSPITAL,IL,41.9108216,-87.8423407
140010,EVANSTON HOSPITAL,IL,42.0655989,-87.6842083
140013,PROCTOR HOSPITAL,IL,40.75295120000001,-89.59761329999998
140015,BLESSING HOSPITAL,IL,39.9232141,-91.39823
140029,COPLEY MEMORIAL HOSPITAL,IL,41.7294968,-88.269583
140030,SHERMAN HOSPITAL,IL,42.069983,-88.33072729999998
140040,GALESBURG COTTAGE HOSPITAL,IL,40.955704,-90.3658249
140043,CGH MEDICAL CENTER,IL,41.788641999999996,-89.69621939999998
140046,GOOD SAMARITAN REGIONAL HLTH CENTER,IL,38.3229241,-88.91025929999998
140053,ST JOHNS HOSPITAL,IL,39.80572859999999,-89.6451854
140054,MACNEAL  HOSPITAL,IL,41.8321577,-87.79161040000002
140062,PALOS COMMUNITY HOSPITAL,IL,41.668755499999996,-87.813948
140065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,IL,41.7965993,-87.88627120000002
140067,SAINT FRANCIS MEDICAL CENTER,IL,40.7018902,-89.5907819
140080,RHC ST FRANCIS HOSPITAL,IL,42.024609399999996,-87.6844059
140091,CARLE FOUNDATION HOSPITAL,IL,40.117859499999994,-88.21384189999998
140113,PROVENA COVENANT MEDICAL CENTER- URBANA,IL,40.1179701,-88.2276504
140114,SWEDISH COVENANT HOSPITAL,IL,41.97522410000001,-87.6981672
140116,CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,IL,42.3182475,-88.2793253
140117,RESURRECTION MEDICAL CENTER,IL,41.9878027,-87.814386
140119,RUSH UNIVERSITY MEDICAL CENTER,IL,41.8746425,-87.66915399999998
140127,BROMENN HEALTHCARE,IL,40.49646600000001,-88.9911266
140135,DECATUR MEMORIAL HOSPITAL,IL,39.8664376,-88.9608983
140148,MEMORIAL MEDICAL CENTER,IL,39.8095075,-89.655591
140162,ST JOSEPH MEDICAL CENTER,IL,40.477779,-88.9892448
140164,MEMORIAL HOSPITAL OF CARBONDALE,IL,37.7273893,-89.22128289999998
140166,ST MARYS HOSPITAL,IL,39.827532399999996,-88.9317592
140172,FRANCISCAN ST JAMES HEALTH,IL,41.522864399999996,-87.71129529999996
140176,CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,IL,42.275973,-88.400195
140184,HEARTLAND REGIONAL MEDICAL CENTER,IL,37.7306054,-88.9331256
140185,MEMORIAL HOSPITAL,IL,38.5502641,-90.0214907
140186,RIVERSIDE MEDICAL CENTER,IL,41.1249566,-87.881147
140187,ST ELIZABETH HOSPITAL,IL,38.5096757,-89.9885537
140189,SARAH BUSH LINCOLN HEALTH CENTER,IL,39.48308970000001,-88.37282549999998
140191,INGALLS MEMORIAL HOSPITAL,IL,41.6067169,-87.65949979999998
140200,ELMHURST MEMORIAL HOSPITAL,IL,41.8994744,-87.9403418
140202,ADVOCATE CONDELL MEDICAL CENTER,IL,42.2744766,-87.9575656
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,IL,41.721988700000004,-87.73282909999998
140209,METHODIST MEDICAL CENTER OF ILLINOIS,IL,40.70078120000001,-89.59529359999998
140211,DELNOR COMMUNITY HOSPITAL,IL,41.8872711,-88.3447387
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,IL,42.0384783,-87.847611
140228,SWEDISH AMERICAN HOSPITAL,IL,42.2662132,-89.07360659999998
140231,EDWARD HOSPITAL,IL,41.7606321,-88.1437782
140233,SAINT ANTHONY MEDICAL CENTER,IL,42.265992,-89.010339
140239,ROCKFORD MEMORIAL HOSPITAL,IL,42.2983132,-89.09935420000002
140252,NORTHWEST COMMUNITY HOSPITAL,IL,42.06554029999999,-87.9873724
140258,ALEXIAN BROTHERS MEDICAL CENTER,IL,42.01136169999999,-88.00205890000002
140280,TRINITY ROCK ISLAND,IL,41.48262769999999,-90.57066040000001
140281,NORTHWESTERN MEMORIAL HOSPITAL,IL,41.8946256,-87.6209858
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,IL,41.818736,-88.00766589999998
140291,ADVOCATE GOOD SHEPHERD HOSPITAL,IL,42.1905366,-88.12344399999998
150002,METHODIST HOSPITALS INC,IN,41.5994593,-87.3579115
150009,CLARK MEMORIAL HOSPITAL,IN,38.2820658,-85.74934209999998
